"Word1","éOìáóRãIïv47_ìêëØ","éOìáóRãIïv49_âºñ ÇÃçêîí","éOìáóRãIïv50_à§ÇÃäâÇ´","éOìáóRãIïv50_ì˙ójì˙","éOìáóRãIïv50_âìèÊâÔ","éOìáóRãIïv50_ê¬ÇÃéûë„","éOìáóRãIïv52_ñßñÚ","éOìáóRãIïv53_óë","éOìáóRãIïv53_í™ëõ","éOìáóRãIïv54_éçÇèëÇ≠è≠îN","éOìáóRãIïv55_íæÇﬂÇÈëÍ","éOìáóRãIïv55_äCÇ∆ó[èƒ","éOìáóRãIïv56_ã‡ätéõ","éOìáóRãIïv57_èóï˚","éOìáóRãIïv60_ïSñúâ~ê˜ñ›","éOìáóRãIïv61_óJçë","éOìáóRãIïv62_ñXéqÇÃâ‘","éOìáóRãIïv62_åé","éOìáóRãIïv63_â¬à£ÇªÇ§Ç»ÉoÉo","éOìáóRãIïv65_åé‡WëëäÔÊù","éOìáóRãIïv66_çrñÏÇÊÇË","éOìáóRãIïv67_éûåv","éOìáóRãIïv69_óñóÀâ§","êÏí[çNê¨26_à…ì§ÇÃóxéq","êÏí[çNê¨29_â∑êÚèh","êÏí[çNê¨32_ùRèÓâÃ","êÏí[çNê¨33_éUÇËÇ ÇÈÇ","êÏí[çNê¨33_ã◊èb","êÏí[çNê¨37_ê·çë","êÏí[çNê¨40_ñÈÇÃÇ≥Ç¢Ç±ÇÎ","êÏí[çNê¨40_ïÍÇÃèâóˆ","êÏí[çNê¨42_ñºêl","êÏí[çNê¨46_çƒâÔ","êÏí[çNê¨46_ê∂ñΩÇÃé˜","êÏí[çNê¨49_êÁâHíﬂ","êÏí[çNê¨49_éRÇÃâπ","êÏí[çNê¨50_ïëïP","êÏí[çNê¨53_îgêÁíπ","êÏí[çNê¨54_Ç›Ç∏Ç§Ç›","êÏí[çNê¨56_èóÇ≈Ç†ÇÈÇ±Ç∆","êÏí[çNê¨60_ñ∞ÇÍÇÈî¸èó","êÏí[çNê¨61_å√ìs","êÏí[çNê¨61_î¸ÇµÇ≥Ç∆à£ÇµÇ›Ç∆","êÏí[çNê¨63_ï–òr","êÏí[çNê¨68_èHÇÃñÏÇ…","êÏí[çNê¨69_ó[ì˙ñÏ","êÏí[çNê¨70_îØÇÕí∑Ç≠","êÏí[çNê¨72_éOìáóRãIïv","êÏí[çNê¨72_óFêlÇÃç»"
"ÇÃ",3896,4653,4744,386,399,3365,5817,301,3243,345,4758,282,6516,652,402,684,381,440,362,501,359,451,204,526,1009,863,1232,522,2272,286,475,2905,446,521,1407,3420,2178,1367,2177,4981,2088,2222,3423,797,136,167,207,99,190
"Çµ",721,787,816,68,77,777,995,88,528,54,928,41,1100,105,64,118,49,65,83,82,75,79,28,93,93,52,199,81,324,39,99,361,97,87,168,458,203,163,247,637,235,209,309,47,15,9,19,9,13
"Ç…",429,455,472,46,36,352,458,26,258,32,455,16,703,58,37,80,42,36,45,61,44,55,19,60,96,37,108,50,282,29,50,197,46,46,160,260,228,102,144,454,143,155,198,53,3,5,8,3,9
"Ç±Ç∆",369,460,427,35,37,325,522,22,220,54,422,14,584,51,26,51,16,34,54,60,60,35,18,46,53,70,181,53,179,24,67,216,32,64,98,227,115,105,132,333,139,114,229,31,9,5,14,6,14
"éÑ",55,1697,167,0,17,39,157,0,25,0,134,64,1938,14,3,1,35,5,6,75,121,3,32,194,22,183,201,3,97,0,13,353,19,193,0,2,0,219,0,0,0,0,0,258,28,30,1,25,17
"Ç¢",47,75,74,9,13,59,82,5,77,5,66,6,102,9,10,11,6,9,7,8,6,3,2,119,89,44,150,54,334,48,42,336,85,65,206,606,356,218,325,764,276,287,395,76,13,7,22,8,18
"ÇªÇÃ",258,316,254,23,28,228,415,17,251,24,308,23,628,42,25,57,23,29,18,61,60,29,22,24,66,44,113,33,177,27,15,188,17,31,96,233,151,85,139,315,131,150,251,53,11,11,27,10,19
"Ç≥",445,459,397,32,46,386,566,19,205,41,431,12,517,49,32,46,19,28,46,50,21,40,14,11,25,14,55,24,98,14,26,86,24,17,46,109,51,49,84,235,127,55,99,22,3,6,6,4,4
"Ç¬Çƒ",431,473,576,47,46,478,663,35,404,53,648,32,684,72,50,67,26,70,74,57,51,73,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ÇÓ",468,656,423,33,29,349,638,31,307,59,646,30,917,54,59,61,36,57,48,68,46,36,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ÇÓÇÈ",422,421,611,62,38,417,574,32,369,25,442,46,653,93,24,71,60,44,42,49,51,106,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ÇÍ",272,400,300,26,25,209,347,15,210,25,271,16,497,35,18,53,26,11,11,42,30,24,17,15,23,30,94,16,96,8,17,133,18,24,60,128,111,62,107,298,103,96,160,16,4,10,4,4,7
"êl",303,168,231,70,30,238,357,59,228,11,302,14,237,48,26,38,16,47,28,18,18,20,8,45,75,45,113,17,199,14,33,134,23,37,40,144,118,88,75,341,61,124,104,8,10,14,15,11,10
"Ç‚Ç§",473,458,493,35,35,308,412,23,223,21,397,19,637,62,36,78,32,37,42,44,38,62,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ÇÊÇ§",9,4,2,0,0,1,3,0,14,1,3,0,10,0,0,1,0,0,0,1,1,4,0,48,95,54,121,52,280,25,49,244,71,65,207,354,281,172,245,673,223,188,307,76,5,9,16,6,24
"Ç±ÇÃ",229,296,435,22,28,296,400,20,128,10,285,5,329,35,10,35,11,22,10,14,4,11,7,26,51,35,51,22,85,4,6,203,10,13,35,80,52,43,59,91,168,65,81,21,3,5,5,6,5
"Ç¢ÇÈ",1,0,1,0,1,0,1,3,34,1,0,2,0,1,2,5,0,0,0,0,0,0,0,58,70,38,103,39,233,27,54,182,37,36,171,359,186,90,212,600,236,266,326,67,3,7,30,6,18
"Ç‡ÇÃ",197,283,236,21,17,212,252,19,76,30,231,5,338,26,20,32,11,16,15,19,10,11,4,20,30,39,97,24,115,16,21,75,24,27,42,99,61,45,83,214,117,82,132,18,3,6,4,3,5
"ÇªÇÍ",237,335,215,16,16,134,247,9,108,22,226,11,343,39,13,27,22,18,21,37,18,14,6,28,43,12,46,17,116,19,17,71,12,13,42,71,44,24,41,126,70,54,114,30,7,2,3,3,7
"óà",152,104,136,5,9,75,121,18,104,2,132,7,153,0,5,10,4,1,5,15,20,5,5,50,60,11,36,18,207,17,44,126,26,27,102,196,137,76,100,325,91,96,197,19,6,4,3,2,9
"îﬁ",416,305,260,3,15,281,366,9,124,61,374,5,221,34,8,11,8,24,0,11,14,6,1,8,20,4,46,118,78,3,18,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ç∑ÇÈ",187,181,204,18,16,187,262,17,94,20,216,5,236,28,7,19,6,12,19,10,13,23,9,12,23,23,60,17,81,5,16,107,11,29,45,90,54,36,48,170,40,47,69,12,3,3,4,5,3
"å©",137,177,176,12,7,74,233,12,83,9,175,7,215,17,7,26,4,6,16,18,18,10,6,19,26,18,41,13,80,13,12,86,23,13,70,192,122,35,90,187,53,77,116,15,2,3,3,0,3
"é©ï™",171,115,152,11,7,148,218,8,100,36,206,5,138,25,8,44,8,22,14,13,3,14,4,13,15,4,37,24,54,5,28,60,19,28,59,95,74,31,63,231,59,33,103,18,2,4,4,8,7
"ñ⁄",109,121,155,10,15,92,206,10,88,7,132,12,185,14,14,39,18,17,11,21,13,25,4,4,4,10,32,23,55,6,3,83,15,13,65,120,76,28,104,217,100,67,159,22,3,1,5,0,7
"Ç»Ç¢",144,164,200,22,15,159,231,11,109,16,217,8,187,19,17,22,10,10,30,11,20,20,3,7,19,12,46,16,71,10,12,79,13,18,23,77,46,29,59,134,68,47,77,11,1,4,2,1,9
"Ç†ÇÈ",126,142,122,17,14,128,170,16,95,14,160,9,184,25,6,5,8,14,7,19,18,15,5,11,27,13,37,16,77,7,15,88,14,11,38,78,65,32,51,159,60,105,105,22,2,3,4,8,7
"èó",34,86,124,13,9,94,124,11,73,0,204,1,218,14,6,1,1,3,30,2,0,12,1,39,41,6,41,10,167,0,16,3,11,15,32,143,34,23,128,142,251,39,77,39,0,0,12,1,1
"Ç∆",51,96,94,11,10,108,104,9,79,8,138,3,136,9,17,18,4,27,23,23,16,15,4,5,23,10,13,6,25,0,5,27,11,10,11,459,19,37,184,59,77,16,272,47,5,0,1,0,6
"Ç–",207,224,218,22,17,148,265,20,151,9,249,15,268,19,13,30,11,20,18,27,23,22,11,0,1,0,0,0,0,0,1,3,0,1,2,6,1,1,0,4,0,0,0,0,0,0,0,0,0
"ÇµÇ©Çµ",99,99,65,4,11,33,117,5,55,11,92,10,178,16,3,7,9,9,5,11,11,6,4,7,21,0,25,19,50,11,14,86,17,20,68,143,80,23,89,171,73,99,104,10,2,2,7,3,8
"Ç†Ç¬",204,243,151,17,26,119,242,30,172,22,223,2,325,22,16,17,2,19,11,25,16,3,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"åæ",154,159,249,17,12,203,256,14,109,15,298,16,192,28,23,22,0,24,37,33,11,29,8,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
"äÁ",84,77,94,7,8,76,103,10,82,2,138,6,122,13,14,34,7,6,8,19,22,13,3,18,16,3,12,15,79,11,12,73,11,2,39,108,62,19,52,183,51,73,104,6,0,1,2,0,7
"éË",56,84,122,9,8,69,122,4,62,7,95,3,114,0,21,16,2,15,7,5,7,9,1,11,17,11,29,15,46,5,10,163,6,6,37,55,62,23,68,135,55,39,106,21,1,1,36,0,0
"åæÇ¡",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,15,9,10,4,81,12,25,118,7,12,115,298,142,56,84,241,52,205,202,34,5,2,11,3,6
"ÇÁÇÍ",104,113,120,7,9,79,130,5,68,9,99,5,142,18,10,15,8,5,9,20,4,9,3,11,20,14,24,7,50,8,12,42,13,14,19,57,35,28,57,139,67,41,100,13,0,2,0,0,4
"âπ",25,32,45,2,3,11,33,9,27,1,65,2,98,5,3,10,1,4,0,2,14,5,22,9,10,3,4,2,41,12,1,23,3,1,7,52,17,11,14,151,22,14,891,3,4,1,1,0,0
"ÇÒ",50,75,93,7,7,130,260,3,69,32,237,3,127,12,25,2,0,17,24,7,7,11,0,39,48,7,64,31,150,12,22,32,10,21,0,2,6,7,3,9,6,11,4,0,1,0,0,0,11
"Çπ",110,127,131,15,17,107,152,5,77,9,119,5,150,17,6,17,5,8,13,10,3,11,5,14,10,6,23,21,25,5,12,42,4,10,17,55,25,16,31,69,37,21,48,10,4,1,13,1,3
"éq",7,4,7,0,1,8,31,0,3,0,26,1,76,3,0,0,1,44,4,0,0,0,0,7,1,5,0,7,35,7,9,4,0,2,4,40,3,22,19,175,8,20,1047,6,0,0,0,0,0
"ëO",66,53,83,8,1,54,106,9,65,4,90,4,142,5,14,30,5,5,6,11,3,6,2,8,16,16,17,10,60,4,12,66,6,8,42,103,72,29,36,129,39,69,68,9,3,4,4,2,7
"ì˙",67,82,95,9,4,59,78,2,111,4,101,11,132,6,0,11,10,0,1,14,4,10,2,16,14,10,15,14,34,0,9,251,2,15,18,61,32,28,21,102,12,51,42,4,8,5,2,2,2
"éû",98,64,27,5,7,21,58,2,28,1,28,3,45,4,7,4,0,2,3,1,5,14,2,21,37,22,74,16,100,10,15,140,24,20,47,110,59,55,59,127,38,41,106,10,7,2,8,2,0
"ñ∫",16,17,16,2,1,5,2,0,55,0,8,0,30,3,0,0,3,6,7,12,0,0,0,19,22,5,36,1,52,4,16,2,5,14,18,77,22,8,17,85,608,83,58,219,1,1,15,0,0
"ÇªÇ§",3,10,9,2,2,26,35,0,19,0,30,0,29,4,1,3,1,0,0,1,2,2,0,33,26,12,42,21,152,26,27,77,30,30,60,139,82,46,67,202,86,67,83,17,5,1,4,4,9
"â∆",113,97,71,2,2,52,117,5,71,5,58,2,48,10,3,4,6,2,18,4,15,1,0,7,17,15,64,19,42,1,17,24,5,10,25,93,23,34,48,154,114,58,27,3,2,6,4,5,1
"èo",76,55,72,7,4,55,68,7,57,3,70,4,99,14,6,7,3,4,9,10,8,5,1,19,19,2,18,5,68,20,16,56,13,25,35,103,64,39,38,188,26,39,67,6,2,1,4,2,3
"îﬁèó",178,168,305,5,34,100,187,0,40,1,59,0,59,4,6,12,8,4,5,4,0,1,0,12,131,0,67,14,51,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ÇΩÇø",55,191,103,31,14,71,85,8,98,7,133,35,112,14,12,4,7,18,1,3,2,6,4,9,0,0,0,0,1,1,0,68,0,14,4,33,46,11,23,77,40,47,35,3,1,3,0,2,6
"è„",71,71,126,7,15,81,110,7,72,3,83,11,117,16,8,14,4,9,11,7,7,15,1,15,13,5,20,9,49,12,6,40,5,2,10,52,33,17,65,55,34,43,36,19,0,1,5,0,0
"Ç»Ç¡",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,41,30,65,24,97,9,22,129,18,30,45,132,71,38,75,214,87,78,113,21,1,2,13,0,6
"Ç‹ÇΩ",31,84,64,6,3,36,50,3,36,5,41,5,32,1,0,1,0,0,0,1,2,0,0,18,20,15,43,20,72,7,16,98,8,20,43,102,63,30,46,146,34,60,69,14,5,2,1,3,1
"ìI",54,149,66,7,10,157,226,16,25,18,208,0,122,19,7,5,3,5,9,4,11,1,2,6,2,2,14,6,10,0,0,20,5,0,7,8,7,1,6,6,3,0,18,0,0,0,0,0,0
"éséq",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1221,0,0,0,0,0,0,0,0,0
"Ç»Ç©",52,59,84,1,9,30,37,2,53,5,33,3,32,3,4,4,6,2,1,3,2,5,3,2,0,11,16,10,71,9,5,28,11,9,28,55,47,29,64,134,45,51,93,25,2,0,8,1,1
"Ç∆Ç±ÇÎ",48,61,54,6,4,52,75,6,65,6,84,5,78,9,5,5,1,6,5,9,6,6,2,9,6,14,42,10,40,9,11,50,17,7,19,48,29,20,21,96,20,36,43,10,1,2,3,2,5
"ÇΩÇﬂ",70,73,113,6,9,83,76,4,42,7,88,4,99,11,6,13,2,3,3,7,7,5,5,2,8,14,28,7,21,1,5,33,2,6,19,29,27,11,14,76,33,30,44,5,5,1,4,3,1
"ïÍ",99,63,2,0,0,8,56,0,27,1,17,0,82,0,0,1,0,0,3,0,22,0,0,0,26,34,6,6,6,3,7,0,0,12,85,14,63,85,42,83,20,117,157,0,0,0,0,0,1
"Ç†ÇÃ",85,116,122,6,14,40,129,1,33,4,89,9,104,21,2,4,1,6,13,12,4,8,1,4,13,10,17,4,64,9,7,11,4,24,14,15,9,14,36,25,18,9,10,3,0,0,0,0,0
"ç°",68,63,50,4,6,31,92,4,26,1,100,7,83,7,3,17,2,4,5,5,5,3,3,4,7,8,21,7,43,5,14,33,11,7,24,42,41,18,37,74,26,44,61,10,2,0,4,1,2
"êS",89,113,50,2,8,44,119,1,67,16,87,3,96,6,3,8,3,5,5,5,11,1,4,4,0,25,19,4,24,1,6,26,6,17,7,15,21,19,11,55,33,25,49,4,2,11,2,2,1
"âΩ",132,130,136,6,7,80,127,7,71,15,137,4,150,12,9,7,8,14,16,7,12,17,3,10,5,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ÇÍÇÈ",47,87,121,8,5,74,83,4,38,5,66,6,115,4,4,12,2,8,6,6,7,5,4,2,7,6,24,6,28,3,6,42,8,10,8,27,20,16,20,60,24,28,29,2,0,1,0,0,0
"Ç†Ç¡",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,14,2,30,10,68,10,11,81,25,18,44,114,79,39,75,136,47,92,132,16,3,1,3,1,10
"ä¥Ç∂",68,65,60,2,0,34,65,2,18,9,42,0,77,16,7,20,5,1,9,3,5,10,4,13,13,2,8,5,32,3,4,30,15,4,55,75,37,23,37,113,21,6,34,15,0,0,2,0,2
"ï˚",63,38,19,0,11,37,32,1,12,3,29,0,33,6,7,2,1,1,1,4,4,0,1,13,12,13,36,14,49,10,17,58,13,23,24,74,36,25,51,111,38,58,51,11,0,0,2,0,3
"Ç»ÇÈ",48,41,67,3,4,68,64,6,42,5,91,5,80,10,7,4,1,8,8,5,5,8,2,7,16,14,25,14,46,4,7,42,9,14,13,35,26,10,19,58,11,16,33,4,1,2,3,0,0
"íj",25,34,36,5,2,59,97,2,36,0,85,1,41,15,4,2,6,3,7,1,16,22,0,25,58,6,18,10,33,4,14,1,4,3,4,48,67,1,46,74,28,21,31,4,0,0,1,0,0
"Ç±ÇÍ",51,59,100,7,11,100,111,9,28,1,75,1,76,3,8,24,1,3,6,3,3,5,4,7,16,10,16,10,31,1,6,40,4,12,8,22,8,3,6,30,20,16,25,4,1,2,0,0,2
"óàÇÈ",46,40,63,6,8,20,52,3,30,0,43,1,41,0,3,11,4,3,1,4,2,3,3,13,23,2,12,5,88,4,9,28,6,6,27,39,28,17,40,108,38,37,49,8,2,2,4,0,3
"ãC",77,48,55,8,4,60,58,2,37,4,59,0,56,0,7,7,3,2,15,8,5,9,3,3,8,8,30,8,39,6,7,28,8,16,17,45,25,22,15,93,16,26,27,4,0,1,0,0,0
"Ç∆Ç´",31,85,78,1,9,63,120,7,67,10,112,10,210,21,14,19,6,6,9,13,19,13,12,0,1,0,1,2,1,2,0,0,0,0,0,1,0,1,0,5,0,4,4,0,0,0,0,0,1
"Ç¢Ç”",76,70,102,12,11,117,112,3,43,19,149,6,135,16,8,3,9,7,12,11,14,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ÇªÇµÇƒ",38,32,45,2,5,23,39,1,23,0,20,1,82,5,4,9,4,7,1,9,9,5,3,11,27,6,7,6,26,6,9,46,3,7,18,29,43,14,15,84,35,61,69,19,4,1,1,0,2
"Ç†",40,90,136,10,9,72,140,1,65,5,93,3,88,3,7,11,7,5,13,13,3,7,6,0,6,0,1,0,10,10,0,0,3,2,0,3,7,2,6,5,23,6,2,0,1,0,0,0,1
"å©Ç¶",16,30,31,3,10,20,41,6,39,3,51,4,118,9,4,7,2,5,2,6,1,2,1,10,6,4,10,8,64,4,3,30,4,7,28,60,31,23,28,68,17,12,51,12,5,3,1,0,8
"ê∫",37,31,45,0,3,28,30,11,31,3,59,6,40,0,2,4,1,7,10,7,12,3,1,9,4,2,19,7,55,4,3,8,5,8,30,65,30,8,37,98,33,43,52,12,0,0,0,0,0
"Ç©Ç§",71,94,111,9,14,122,122,5,45,4,145,3,89,7,9,12,10,5,4,6,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ç‡Ç§",24,53,44,1,3,29,49,2,31,2,48,2,54,5,4,9,4,4,8,6,3,6,0,11,17,7,25,18,101,7,20,36,7,5,11,37,18,19,18,46,28,16,30,2,2,1,2,0,1
"èoÇµ",52,31,52,4,0,64,59,6,44,7,55,0,50,6,6,6,5,5,5,3,1,5,0,7,21,8,11,8,32,11,12,19,1,4,28,59,20,12,16,67,23,21,20,5,0,0,1,1,0
"ïvêl",242,2,0,0,77,40,180,0,7,0,5,0,0,0,0,3,0,0,0,41,0,0,0,0,0,3,0,0,0,0,0,58,0,1,167,0,0,15,0,7,19,0,0,0,0,3,0,0,0
"Ç≥ÇÒ",79,7,45,0,3,15,37,0,65,1,40,0,41,13,14,0,0,1,3,3,2,3,0,8,52,13,40,3,69,11,17,39,0,176,0,1,0,33,0,2,0,4,0,0,4,0,0,3,11
"íÜ",51,67,49,1,1,56,114,8,47,4,89,4,129,17,11,15,7,22,13,9,9,11,5,12,17,2,7,2,10,0,0,30,8,1,2,4,3,1,0,7,0,5,1,0,0,0,0,0,1
"Ç¢Ç¢",15,24,34,7,3,43,64,2,13,1,68,1,30,11,8,6,0,9,20,3,2,3,1,19,18,4,24,19,71,18,17,35,6,19,4,32,13,15,14,49,25,30,34,2,2,1,4,0,2
"ÇµÇÍ",42,44,46,2,2,17,27,0,8,3,27,2,55,5,1,4,2,1,4,5,1,6,3,0,5,2,31,3,25,3,11,42,12,16,31,67,14,32,45,52,51,26,44,10,4,2,2,1,2
"Ç»Ç≠",44,51,60,2,3,48,49,5,30,2,45,2,82,5,4,13,6,5,11,5,1,6,3,11,5,2,14,5,21,3,6,22,5,3,13,35,20,6,11,66,28,20,39,9,3,0,3,0,1
"ïÉ",48,24,5,0,0,26,17,0,13,1,8,0,85,0,0,0,0,0,1,6,22,0,0,0,11,10,1,0,0,0,0,1,0,0,85,30,71,75,26,117,2,113,13,0,3,0,0,0,7
"?",69,69,112,7,9,45,121,10,71,6,100,6,97,0,6,16,1,50,5,5,4,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ç§Çø",12,48,24,1,3,33,42,2,22,4,43,2,39,4,1,2,1,0,4,5,2,6,3,9,21,15,21,4,57,3,11,21,1,8,18,44,25,10,17,105,33,30,42,4,0,2,2,0,5
"ñºêl",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,794,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"ãπ",11,58,34,2,1,8,34,0,29,0,14,1,33,0,2,14,4,4,3,3,0,8,0,8,12,2,41,4,29,3,3,22,6,8,28,26,45,14,36,71,47,25,75,21,1,1,0,0,1
"Ç‹Çæ",35,58,67,4,6,30,56,2,52,10,40,4,46,4,2,4,4,2,2,6,5,3,2,6,11,12,8,11,34,3,3,28,6,4,9,35,13,13,19,46,18,28,29,5,0,0,1,1,1
"ÇªÇ±",36,56,37,0,1,24,59,2,39,1,78,6,128,12,12,10,5,8,4,15,16,4,2,6,9,5,17,4,16,6,5,8,6,1,13,20,13,7,11,23,12,6,24,2,0,0,3,2,0
"ïó",31,40,37,1,5,27,50,1,51,1,43,2,94,4,5,0,4,4,2,5,1,7,0,6,10,9,15,11,37,3,6,22,3,8,15,36,19,9,8,67,13,19,32,6,0,2,0,0,0
"å©ÇÈ",41,42,52,5,6,39,62,4,23,4,50,8,65,9,3,13,2,5,2,5,7,2,2,10,6,3,9,9,22,3,4,21,6,1,13,40,18,14,13,59,10,8,31,2,0,1,3,3,1
"Ç»ÇÁ",52,66,67,6,7,56,73,2,20,9,51,1,84,6,7,15,0,1,4,2,4,2,2,4,5,6,12,8,17,4,6,24,4,9,6,13,4,9,12,41,6,5,13,3,0,1,0,3,2
"îN",28,41,23,3,4,40,26,2,18,2,32,5,62,4,2,1,1,0,4,12,0,0,1,3,11,8,6,6,31,0,9,51,3,0,13,52,38,11,10,55,29,29,53,3,1,3,7,2,5
"ã‚",4,4,1,0,0,0,10,0,1,0,1,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,2,708,3,2,0,1,1,0,0,0,0,0
