Term1,Term2,度数
学費を,低く/安く,20
単位を,取り,4
もっと,取り,3
自動車通学の,許可。,3
学食を,安く。,3
もっと,分かり,2
もっと,増やして欲しいです。,2
もっと,安く。,2
もっと,安くして欲しい。,2
タバコを,吸う,2
人が,多い。,2
全天候型に,して欲しいです。,2
単位を,取りやすく。,2
単位認定を,緩やかにして欲しい。,2
取り,易くして欲しい。,2
同じ,全天候型に,2
意味が,無い。,2
陸上競技場と,同じ,2
意味が,ない,2
1度も,使わないのに,1
2時以降も,使えるようにして欲しい。,1
4年生の,学費は、,1
4年生は、,ものかと,1
ある,学生に,1
あるので、,通学したい。,1
いい,物に,1
いかがな,ものかと,1
いちいち,許可しないと,1
いっぱい,払っているし。,1
いつも,終わってしまい、,1
いるので、,何とかして欲しい。,1
うち,取らなければならない,1
うちから,対策すべきだと,1
うちの,近くに,1
うまく、,しろ。,1
うるさい,学生を,1
うるさいので,どけて欲しい。,1
うるさく、,多い。,1
おじさんが、,うるさいので,1
おっちゃん,怖すぎ。,1
おやじを、,どうにかして欲しい。,1
お受けている,こっちまで,1
お金が,かかりすぎて,1
お金が,高い,1
かかないような,大学に,1
かかりすぎて,困ります。,1
きつい,ものが,1
きれいに,書いて欲しいです。,1
けーび員の,おっちゃん,1
こっちまで,出ない。,1
こと,ない→,1
ことが,出来なかった。,1
ことは,言わないでくれ！。,1
ことは、,対策すべきだと,1
ことを,求む。,1
この,アンケートの,1
これでは,ありません。,1
こ駐車場の,おやじを、,1
ごちゃごちゃ,していて,1
し,ばくぞ。,1
したが,良くなって欲しい。,1
したのに、,無い。,1
していて,わかりづらい。,1
しなくても,取れて,1
しろ,アホ！不満だ。,1
しろ、,取るんじゃねぇ。,1
する,ための,1
する,人が,1
する,時間が,1
すわりにくい,ため、,1
せめて,育てて欲しい。,1
せめて,５００～１０００個位、,1
そうでなければ,出来ない。,1
その,教員は,1
それから,選びたい。,1
それを,どうにかした,1
たいがいの,授業が,1
たいした,事が,1
ため、,なる。,1
ためなどに,買わせたり、また,1
ために,するのですか？,1
ために、,努力して下さい。,1
ための,サポートと、,1
ための,対策を、,1
ための,講義を、,1
ちゃりん,どうにかして欲しい。,1
ちゃんと,しろ,1
ちゃんと,反省しろ。,1
つけかたを,ちゃんとしてほしい。,1
つけてくれ,第一やで！,1
つまんないから,改善して。,1
とき、,吸いたい、,1
とても,遠いので、,1
とにかく,つまんないから,1
どうにか,ならない,1
どうにかした,ほうが,1
ない,人が,1
ない→,眠たくなる,1
ないので、,返して下さい。,1
なったら,まずいです。,1
ならない,ものでしょうか。,1
ならないので、,良いと,1
なれないし、,つまらない。,1
なんか,変だよねー。,1
なんか大学の,講義って,1
なんで,勉強しないといけないのか,1
はず、,見るのではなく、,1
ぶつかりすぎるので、,やって欲しい。,1
ほうが,いい。,1
ほうが,良いと,1
ほとんどが、,期待はずれでした。,1
ままでは、,熱望する。,1
もう一度,与えてくれてもいいと,1
もう少し,下げて下さい。,1
もう少し,取り,1
もう少し,安く。,1
もう少し,安くしませう。,1
もったいないので、,活用して欲しい。,1
もっと,ある,1
もっと,いい,1
もっと,とれるようにして欲しい。,1
もっと,やりやすい,1
もっと,アルバイトなど、,1
もっと,ゴージャスにして欲しい。,1
もっと,スムーズに,1
もっと,作って欲しい。,1
もっと,使え。,1
もっと,入ればいいのですが。,1
もっと,出来るように,1
もっと,出来れば良い。,1
もっと,参加できるような,1
もっと,取りやすく。,1
もっと,取り易い,1
もっと,増やして欲しい。,1
もっと,多くする,1
もっと,大きい,1
もっと,大きくしてもらいたい。,1
もっと,安いと,1
もっと,安くするべき。,1
もっと,広く。,1
もっと,持てて,1
もっと,援助して欲しい。,1
もっと,援助するべきだと,1
もっと,書いて欲しいです。,1
もっと,楽しくして下さい。,1
もっと,欲しい。,1
もっと,現実的な,1
もっと,簡単に,1
もっと,緩やかにして欲しい。,1
もっと,良くなって欲しい。,1
もっと,難しい,1
もっと,高くしてほしいです。,1
ものかと,思う。,1
ものが,ある。,1
ものを,教えているのか,1
もの言いが,出来れば良い。,1
やつが,受かって、,1
やりやすい,カリキュラムに,1
やる気が,出ない。,1
やる気を,感じない。,1
やる）は,変えて欲しい。,1
よう、,善処した,1
わからない,先生が,1
アルバイトなど、,する,1
アルバイトの,情報が,1
アンケートの,喫煙場所の,1
イメージを,上げているのだから。,1
エアコンを,いれてほしい。,1
エレベーターの,充実。,1
オムニコートに,して下さい。,1
カリキュラムに,してほしい。,1
カリキュラムに,して欲しい。,1
カリキュラムの,変更。,1
キレイに,見えるけど、,1
クラスが,デカすぎるから、,1
クラス分けして欲しい！クラスも,無いから、,1
クーラーを,つけてくれ,1
クーラーを,つけてほしいです。,1
グラウンドを,して欲しいです。,1
グラウンドを、,して下さい。,1
コンビニとか,マックとか,1
コンビニを,入れる。,1
コンピュータ等の、,変えるのが,1
サッカーグラウンドを、,して欲しい。,1
サポートと、,充実。,1
スケジュールが,きつすぎる。,1
スポーツを,やりやすい,1
スムーズに,行なえるようにしてほしい。,1
セスター制に,したのに、,1
セミスター制は、,熱望する。,1
セミスター制導入の,意味が,1
セメタリー制は、,ならないので、,1
ゼミくらいの,教室で,1
ゼミの,内容）を,1
ゼミを,選ぶ,1
タバコの,吸い殻が,1
チャンスを,与えてくれてもいいと,1
テストなどの,難しさが,1
テストの,ためなどに,1
テストは,優しめに。,1
テニスコートに,つけて下さい。,1
デカすぎるから、,授業すればいい。,1
ドイツに,留学出来る,1
ノートの,取り易い,1
バイクで,かかる。,1
バカだと,思われる。,1
パイプを,作って欲しい。,1
パソコン書籍の,充実。,1
ボケ！！金ばかり,取るんじゃねぇ。,1
マックとか,作って欲しい。,1
マナーが,悪すぎる。,1
マナーの,悪さは,1
マナーは,悪い。,1
モラルの,ない,1
モラルの,低下を、,1
レベルが,低いとか,1
レベルを,上げて、,1
レベルを,上げて欲しい。,1
ロッカーを,設置して欲しい。,1
一人,一人にとは,1
一人,一人を,1
一人にとは,言わなくても、,1
一人を,大事にするようにして欲しい。,1
丁寧にし、,指定して欲しい。,1
上から,見るのではなく、,1
上げて、,向上して欲しい。,1
上と,したが,1
