"Words","を/格助詞","は/副助詞","の/接続助詞","と/格助詞","に/格助詞","が/格助詞","も/副助詞","で/格助詞","か/接続助詞","へ/格助詞","の/格助詞","から/接続助詞","が/接続助詞","から/格助詞","ね/終助詞","よ/終助詞","でも/副助詞","って/副助詞","な/終助詞","まで/格助詞","ながら/接続助詞","だけ/副助詞","さ/終助詞","じゃ/副助詞","また/接続助詞","ばかり/副助詞","や/接続助詞","より/格助詞","なら/副助詞","かも/接続助詞","かい/終助詞","さえ/副助詞","など/副助詞","か/終助詞","だって/副助詞","わ/終助詞","に/接続助詞","ぜ/終助詞","まま/接続助詞","なり/接続助詞","まで/接続助詞","だの/接続助詞","なら/接続助詞","ねえ/終助詞","のみ/副助詞","なんか/副助詞","し/接続助詞","くらい/副助詞","なんて/副助詞","けれども/接続助詞","より/接続助詞","っと/格助詞","つつ/接続助詞","こそ/副助詞","ぐらい/副助詞","しか/副助詞","やら/接続助詞","なあ/終助詞","OTHERS"
"夏目漱石_三四郎",3227,3547,3255,2776,2769,2486,895,828,733,725,485,460,375,568,191,62,118,130,94,143,137,147,25,45,124,87,43,72,39,44,8,26,34,46,23,21,48,9,45,22,23,37,5,0,8,8,11,12,9,21,14,2,18,5,21,17,7,12,68
"夏目漱石_吾輩は猫である",6119,6399,5943,5968,5307,4158,2213,1633,1541,1009,911,1205,1128,927,618,497,436,364,344,219,176,254,346,216,160,170,170,132,189,143,115,109,203,84,107,85,67,94,32,33,53,24,75,62,58,62,32,85,41,25,35,24,20,23,1,29,11,25,239
"夏目漱石_坊っちゃん",1655,1754,1378,1655,1273,1243,565,519,421,461,258,484,420,246,74,34,99,112,105,78,54,54,20,75,31,73,61,52,82,41,13,27,28,11,27,0,10,26,4,69,14,33,35,2,4,22,18,4,37,12,14,7,0,5,35,6,1,2,57
"夏目漱石_坑夫",2348,2434,2269,2577,2274,2088,1068,804,562,634,435,561,515,461,70,51,161,120,117,206,154,170,15,40,113,68,78,73,67,44,23,67,29,35,31,1,51,12,23,25,32,32,26,55,12,13,12,27,18,11,31,9,4,17,7,15,22,13,79
"夏目漱石_夢十夜",362,298,361,300,283,264,76,92,52,92,48,30,15,56,16,5,14,13,14,17,19,6,1,5,19,10,15,2,3,0,5,3,2,4,1,1,6,2,6,1,3,1,1,0,2,0,0,1,0,2,2,3,0,0,1,0,2,1,2
"夏目漱石_文鳥",306,231,221,181,194,142,57,48,20,80,23,25,12,38,4,5,14,2,3,7,11,8,0,0,15,4,7,1,0,2,1,2,5,3,1,0,0,0,9,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,3,2,1,2,2
"夏目漱石_琴のそら音",397,372,383,456,348,310,137,97,141,57,72,88,70,63,41,21,31,18,30,21,20,20,51,18,17,3,18,9,10,12,9,8,12,4,7,1,6,11,1,1,6,2,6,7,5,1,2,0,5,0,3,1,5,0,1,3,0,1,11
"夏目漱石_草枕",1692,1670,1940,1384,1734,1239,631,364,417,276,338,162,196,263,82,66,75,59,91,73,54,62,24,54,31,25,36,37,34,46,44,39,12,24,7,9,22,9,19,3,17,4,12,31,27,8,4,7,3,1,9,9,14,11,4,6,10,8,79
"夏目漱石_虞美人草",4316,4600,4117,3169,3956,2361,1137,737,959,551,617,470,407,528,540,353,220,226,178,150,152,138,153,129,87,85,83,128,92,51,136,74,15,57,47,71,38,40,71,15,17,15,32,8,44,15,25,10,24,35,17,33,30,44,16,15,14,10,118
"夏目漱石_野分",1986,2094,1808,1319,1667,1158,542,350,466,235,314,275,244,239,185,145,84,113,72,74,68,53,84,81,52,40,51,49,39,40,32,30,17,43,31,37,16,17,14,14,10,1,14,7,11,19,7,1,11,11,11,15,10,15,9,15,9,14,66
"泉鏡花_化鳥",319,217,243,261,234,262,102,122,49,45,89,63,19,53,14,16,12,38,11,6,5,0,2,6,12,24,10,6,5,2,9,1,2,1,12,2,2,1,3,3,2,53,1,7,0,3,4,0,0,4,1,4,0,1,2,0,8,1,45
"泉鏡花_国貞えがく",301,201,398,364,286,243,107,122,43,85,102,12,39,44,23,21,9,12,13,9,17,6,17,8,5,12,10,8,1,1,1,0,2,2,1,3,1,5,0,1,1,0,2,1,0,0,7,0,0,5,1,5,2,1,0,0,1,0,15
"泉鏡花_売色鴨南蛮",290,215,340,256,284,169,110,84,33,58,104,14,33,31,21,14,5,14,5,11,25,4,5,3,8,7,8,5,1,0,1,4,2,0,0,7,0,0,1,3,7,4,0,4,1,1,3,0,1,1,1,2,8,0,3,0,2,0,7
"泉鏡花_小春の狐",276,208,304,201,318,162,84,60,42,21,67,23,45,14,17,11,8,11,14,2,14,1,2,15,2,9,12,7,3,2,0,9,4,2,1,6,1,1,0,1,3,2,1,1,1,1,2,1,0,2,0,1,4,0,0,0,3,3,16
"泉鏡花_怨霊借用",332,285,501,286,390,262,137,152,36,101,94,24,52,58,10,17,19,15,26,6,17,6,6,2,8,18,4,8,1,2,2,5,5,2,1,5,4,1,2,13,6,1,0,0,0,1,8,0,0,0,1,3,7,1,0,0,0,1,13
"泉鏡花_歌行燈",729,413,790,763,558,425,269,274,115,187,178,26,69,87,32,30,31,33,85,16,38,15,40,52,15,25,50,5,13,2,14,3,2,4,4,14,5,11,2,14,12,2,6,13,2,1,2,0,0,2,2,13,3,1,1,0,10,4,54
"泉鏡花_縁結び",285,206,314,345,276,221,98,110,62,82,82,50,59,34,34,41,10,14,4,9,21,7,8,12,14,14,6,5,2,3,10,3,0,3,0,7,2,1,4,3,2,1,0,4,0,2,6,0,0,5,1,6,3,1,2,0,0,0,27
"泉鏡花_遺稿",301,245,569,293,364,236,118,119,65,91,88,22,35,29,10,9,9,0,31,15,11,5,26,0,3,21,21,11,2,2,0,0,3,0,0,11,2,1,0,2,2,4,0,3,0,0,1,0,0,3,0,0,3,2,0,0,1,2,24
"泉鏡花_高野聖",726,534,637,690,615,501,315,210,107,141,149,68,122,115,10,33,48,28,31,20,42,9,20,56,29,33,21,8,5,0,6,10,4,7,2,11,4,2,6,7,10,7,0,6,0,0,5,2,0,8,3,1,0,4,2,0,5,0,27
"泉鏡花_鷭狩",188,148,235,174,213,180,75,91,33,38,61,22,29,27,11,18,6,8,8,5,6,4,1,1,5,7,1,1,2,0,3,7,1,3,1,5,1,1,2,3,4,0,0,0,0,1,3,0,0,0,2,5,4,0,3,2,0,2,14
