"Word1","kumono_ito"
"の",131
"に",56
"は",51
"を",47
"と",43
"が",35
"から",25
"で",24
"ました",23
"第",20
"］",20
"へ",19
"も",19
"建",18
"御",18
"水準",18
"牛へん",18
"多",17
"ございます",15
"その",15
"事",15
"糸",15
"蜘蛛",15
"地獄",14
"池",14
"ます",13
"ん",13
"中",12
"いる",11
"この",11
"ながら",11
"底",11
"ある",10
"極楽",10
"蓮",10
"ように",9
"上",9
"なく",8
"ので",8
"下",8
"月",8
"血",8
"なり",7
"居り",7
"年",7
"暗",7
"様",7
"釈迦",7
"き",6
"ございませ",6
"な",6
"ない",6
"ませ",6
"云う",6
"日",6
"罪人",6
"自分",6
"お",5
"それ",5
"って",5
"なって",5
"のぼって",5
"もう",5
"落ちて",5
"針",5
"か",4
"かんだ",4
"これ",4
"ございましょ",4
"しまい",4
"た",4
"ただ",4
"はす",4
"ばかり",4
"ふち",4
"まっ",4
"まで",4
"もの",4
"ような",4
"丁度",4
"山",4
"男",4
"見る",4
"間",4
"あ",3
"あたり",3
"い",3
"いけ",3
"いた",3
"いて",3
"いや",3
"こう",3
"ここ",3
"さえ",3
"しい",3
"した",3
"そこ",3
"たち",3
"まるで",3
"まん",3
"み",3
"れ",3
"人",3
"何とも",3
"例",3
"元",3
"入力",3
"全集",3
"大",3
"思い",3
"文庫",3
"断",3
"本",3
"泥",3
"玉",3
"細く",3
"致し",3
"芥川",3
"足",3
"龍之介",3
"あり",2
"いくら",2
"いらっしゃい",2
"う",2
"くも",2
"さま",2
"しかし",2
"しばらく",2
"しめた",2
"しゃか",2
"じごく",2
"す",2
"すい",2
"する",2
"すると",2
"ず",2
"ずい",2
"そう",2
"そうして",2
"そうな",2
"そんな",2
"たえま",2
"たぐり",2
"たまに",2
"だけ",2
"つ",2
"て",2
"ですから",2
"とうとう",2
"ところが",2
"なければ",2
"のぼった",2
"ふ",2
"ふと",2
"ぶら",2
"ぶらぶら",2
"ほか",2
"ぼんやり",2
"ましょう",2
"まわり",2
"め",2
"や",2
"やがて",2
"やはり",2
"よ",2
"られる",2
"れた",2
"ファイル",2
"ルビ",2
"一しょに",2
"一生懸命に",2
"上って",2
"下りろ",2
"両手",2
"中途",2
"云え",2
"今",2
"光って",2
"光り",2
"出して",2
"出来",2
"切って",2
"列",2
"動かして",2
"匹",2
"命",2
"善い",2
"垂れて",2
"声",2
"大きな",2
"好",2
"始め",2
"字",2
"容子",2
"後",2
"御覧",2
"心",2
"急に",2
"所",2
"挙げて",2
"数",2
"方",2
"早速",2
"昭和",2
"時",2
"来た",2
