Words,人,友達,車,自分,事故,人間,食,文化,寿司,日本人,友人,和食,大学,言葉,グループ,スピード,高校,ご飯,世界,時代,パン,実家,クラス,外国,男性,交通,家,親友,味,母,相手,OTHERS
akke2,8,20,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
akke5,0,0,3,2,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,34
akke9,2,0,0,1,0,0,3,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,33
ataka2,11,13,0,2,0,1,0,0,0,0,4,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,41
ataka5,4,0,6,2,10,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,49
ataka9,2,0,0,4,0,0,4,1,0,1,0,2,1,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,0,0,59
kana2,8,6,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12
kana5,1,4,11,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,34
kana9,0,1,0,1,0,0,0,0,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,60
kato2,14,20,0,3,0,0,0,0,0,0,3,0,4,0,3,0,1,1,0,0,0,0,0,0,0,0,0,9,0,0,4,36
kato5,0,0,17,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,55
kato9,0,0,0,2,0,0,7,7,0,3,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,52
kumi2,10,0,0,4,0,1,0,0,0,0,0,0,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
kumi5,4,0,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,47
kumi9,0,0,0,2,0,0,3,3,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
mari2,2,19,0,6,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,31
mari5,5,0,14,6,5,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,58
mari9,2,0,0,0,0,0,3,7,0,4,0,0,0,0,0,0,0,4,0,0,10,1,0,0,0,0,0,0,2,0,0,81
nogu2,9,13,0,12,0,2,0,0,0,0,1,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,79
nogu5,2,0,21,5,1,12,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,50
nogu9,2,0,0,0,0,1,2,4,0,3,0,0,0,0,0,0,0,3,1,0,1,0,0,1,0,0,0,0,2,0,0,62
oota2,2,2,0,4,0,2,0,0,0,0,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,39
oota5,5,0,14,1,8,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,47
oota9,2,0,0,0,0,0,6,0,0,3,0,5,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1,0,0,0,3,46
ori2,8,9,0,1,0,0,0,0,0,0,0,0,1,0,8,0,1,0,0,5,0,0,6,0,0,0,0,0,0,0,0,39
ori5,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
ori9,3,0,0,0,0,0,5,0,2,1,0,0,0,0,0,0,0,4,4,2,0,0,0,1,0,0,1,0,2,0,0,55
taka2,10,10,0,3,0,0,0,0,0,0,2,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,40
taka5,0,0,7,5,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,64
taka9,0,0,0,0,0,6,3,3,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,1,0,0,59
yuka2,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,3,0,8,0,0,0,0,1,0,40
yuka5,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,86
yuka9,0,0,0,1,0,1,0,0,0,4,0,0,0,1,0,0,2,0,0,0,0,1,0,0,3,0,3,0,1,9,0,53
