,人,自分,友達,家族,車,日本,旅行,生活,学校,映画,家,スポーツ,好き,人間,ビデオ,運転,大学,社会,関係,子供,他,仕事,話,高校,一緒,部屋,日本人,卒業,一つ,お金,リカ,親,気,言葉,経験,存在,場所,食,必要,勉強,電話,文化,サッカー,意味,様々,料理,OTHERS,y
akke0,0,1.176,2.353,0,0,0,0,0,0,0,12.941,0,3.529,0,0,0,0,0,0,1.176,0,0,0,0,0,2.353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.176,0,0,0,0,0,75.294,A
ataka0,0,1.053,0,0,0,0,0,3.158,0,0,1.053,0,2.105,0,0,0,0,0,0,0,0,1.053,0,0,0,7.368,0,0,0,0,0,0,0,0,0,0,1.053,0,2.105,0,0,0,0,0,0,0,81.053,A
kana0,0,0,0,0,0.943,0,0,0.943,0,0,16.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.943,0,0,0,0.943,0,0,0,0,0,0,0,0,0.943,0,0,0,0,0,0,0,79.245,A
kato0,2.362,0.787,0,0,0,11.811,0,1.575,0,0,11.811,0,0,0,0,0,0,0,0.787,0,0,0.787,0,0,0,0,0.787,0,1.575,0,0,0,0,0,0,0.787,0,0,0,0,0,0.787,0,0.787,0,0,65.354,A
kumi0,9.709,2.913,0,0,0,0,0,2.913,0.971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.971,0,0,0,0,0,0,1.942,0,0,1.942,2.913,0,0.971,0,0,0,0,0,0.971,0,73.786,A
mari0,6.838,9.402,0.855,0,0,0,0,5.128,0,0,0.855,0,0,0.855,0,0,0,0,0.855,0,0,0,0,0,0,4.274,0,0,0.855,0,0,0,1.709,0,0,0,1.709,0,0,0,0,0,0,0,0,0,66.667,A
nogu0,0.787,4.724,0,1.575,0,0,0,3.15,0.787,0,2.362,0,0,1.575,0,0,0,0,0,3.15,0.787,0,0,0,0,0,0,0,0,0,0,1.575,0,2.362,0,0,2.362,0,0,0,0,0,0,0.787,0,0,74.016,A
oota0,3.571,5.357,0,0,0,1.786,0,1.786,0.893,0,6.25,0,0.893,0,0,0,0.893,0,0,1.786,0.893,0,0,0,0,0.893,0,0.893,0,1.786,0,0,0,0,0,0,0.893,0,0.893,0,0,0.893,1.786,0,0.893,0,66.964,A
ori0,1.802,3.604,0,0,0,0,0,0,0,0,0,0,0.901,0.901,0,0,0,0,0.901,0,0,0,0.901,0,0,12.613,0,0,0,0,0,0,0.901,0,0,0,0,0,0,0,0,0,0,0.901,0,0,76.577,A
taka0,3.472,0,0,0,0,0,0,0.694,0,0,1.389,0,0,0,0.694,0,0,0,0,0.694,2.083,0,2.083,0,0,2.778,0,0,0,0,0,0.694,0,0,0,0,0,0,0,0,3.472,0,0,0,0,0,81.944,A
yuka0,0,1.351,0,0,0,0,0,0,0.676,0,0,0,0,0,0,0,2.027,0,0,0,0,0,0.676,0,2.027,2.027,0.676,0,0,0,0,0,0,0,0.676,0,0,0,0,0,2.703,0,0,0,0,0,87.162,A
