,å§ãÜ,ëÂäw,é–âÔ,ã≥àÁ,ê¢äE,çëç€,äwê∂,êlçﬁ,òAåg,ñ{äw,êÑêi,ím,ïœâª,àÁê¨,ñ¢óà,çvå£,äwñ‚,ëgêD,â€ëË,ã≠âª,â¸äv,äàìÆ,î≠ìW,êEàı,OTHERS1
å§ãÜ,1,0.985,0.813,0.926,-0.537,0.786,0.706,0.219,0.737,0.809,0.906,-0.084,0.894,0.917,-0.306,-0.35,-0.347,0.98,0.559,0.904,0.137,0.828,-0.401,0.988,0.985
ëÂäw,0.985,1,0.861,0.973,-0.456,0.772,0.808,0.245,0.759,0.768,0.918,-0.217,0.903,0.878,-0.308,-0.248,-0.325,0.944,0.437,0.894,0.049,0.766,-0.284,0.966,0.978
é–âÔ,0.813,0.861,1,0.848,-0.058,0.785,0.827,0.5,0.946,0.381,0.727,-0.242,0.853,0.819,-0.306,0.149,-0.499,0.809,0.327,0.924,0.175,0.584,0.081,0.838,0.882
ã≥àÁ,0.926,0.973,0.848,1,-0.37,0.655,0.865,0.154,0.713,0.707,0.913,-0.307,0.883,0.793,-0.323,-0.19,-0.185,0.868,0.336,0.814,-0.018,0.648,-0.21,0.901,0.914
ê¢äE,-0.537,-0.456,-0.058,-0.37,1,-0.121,0.037,0.405,-0.072,-0.609,-0.503,-0.323,-0.489,-0.451,0.373,0.922,0.064,-0.538,-0.493,-0.202,0.153,-0.381,0.469,-0.536,-0.406
çëç€,0.786,0.772,0.785,0.655,-0.121,1,0.686,0.737,0.746,0.614,0.612,-0.275,0.597,0.755,0.017,0.147,-0.642,0.763,0.29,0.917,0.18,0.843,-0.189,0.767,0.865
äwê∂,0.706,0.808,0.827,0.865,0.037,0.686,1,0.486,0.687,0.522,0.752,-0.699,0.667,0.518,-0.006,0.276,-0.189,0.595,-0.097,0.718,-0.228,0.536,0.13,0.66,0.753
êlçﬁ,0.219,0.245,0.5,0.154,0.405,0.737,0.486,1,0.563,0.083,0.159,-0.5,0.157,0.19,0.438,0.645,-0.542,0.18,-0.222,0.524,-0.053,0.459,0.348,0.221,0.359
òAåg,0.737,0.759,0.946,0.713,-0.072,0.746,0.687,0.563,1,0.288,0.697,-0.131,0.86,0.755,-0.175,0.104,-0.477,0.758,0.386,0.886,0.161,0.601,0.164,0.8,0.806
ñ{äw,0.809,0.768,0.381,0.707,-0.609,0.614,0.522,0.083,0.288,1,0.799,-0.199,0.555,0.586,0.067,-0.473,-0.004,0.732,0.375,0.591,-0.079,0.855,-0.65,0.739,0.745
